"id","ip_address","campaign","station","created_at","city","state","user_agent","referral","banner_size"
499,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:00:34.283619","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
501,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:04:34.096595","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
503,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:08:34.393666","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
431,"72.87.240.179","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:25:50.022931","Hemet","California","Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko","http://events.kfrog.cbslocal.com/temecula/events/trace-adkins-wilson-creek-winery-/E0-001-092136153-7","300x250"
435,"72.87.240.179","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:27:49.203751","Hemet","California","Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko","http://events.kfrog.cbslocal.com/temecula/events/trace-adkins-wilson-creek-winery-/E0-001-092136153-7","300x250"
439,"71.84.42.111","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:30:21.519872","San Bernardino","California","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MATBJS)","http://kfrog.cbslocal.com/","300x250"
446,"72.87.240.179","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:33:49.649564","Hemet","California","Mozilla/5.0 (Windows NT 6.1; Trident/7.0; rv:11.0) like Gecko","http://events.kfrog.cbslocal.com/temecula/events/trace-adkins-wilson-creek-winery-/E0-001-092136153-7","300x250"
448,"104.34.16.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:34:39.393932","Santa Ana Heights","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",,"300x250"
450,"104.34.16.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:36:47.319182","Santa Ana Heights","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",,"300x250"
453,"104.34.16.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:41:03.557511","Santa Ana Heights","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",,"300x250"
455,"104.34.16.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:45:07.252948","Santa Ana Heights","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",,"300x250"
470,"104.173.102.45","ag_04202016","OXNARD-KHAY-FM","2016-04-28 07:18:19.8215","Los Angeles","California","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://kbby.tunegenie.com/music/_framed_ad/_/_/_/?pagename=hours&size=300x250&b=kbby","300x250"
472,"23.241.101.254","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:20:46.247386","Idyllwild","California","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","http://events.kfrog.cbslocal.com/","300x250"
474,"23.241.101.254","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:24:25.336124","Idyllwild","California","Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0","http://events.kfrog.cbslocal.com/temecula/events/jennifer-nettles-/E0-001-092993657-7","300x250"
480,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:36:29.527147","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://kfrog.cbslocal.com/category/shows/","300x250"
482,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:36:34.818416","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
486,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:44:33.882456","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
490,"104.172.90.165","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:49:21.721722","Los Angeles","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",,"300x250"
493,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:52:33.994623","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
505,"104.173.102.45","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:08:55.360904","Los Angeles","California","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://kfrog.cbslocal.com/account/","300x250"
432,"71.189.7.254","ag_04202016","OXNARD-KHAY-FM","2016-04-28 06:26:06.971092","Torrance","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9",,"300x250"
441,"71.84.42.111","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:31:41.74908","San Bernardino","California","Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; WOW64; Trident/6.0; MATBJS)","http://kfrog.cbslocal.com/2015/12/22/win-cash-on-thousand-dollar-thursdays-in-2016/","300x250"
443,"104.34.16.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:32:37.597816","Santa Ana Heights","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",,"300x250"
445,"99.83.6.67","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:33:09.231989","Beverly Hills","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.86 Safari/537.36","http://kfrog.cbslocal.com/2016/04/22/heres-what-you-cant-bring-to-stagecoach-2016/","300x250"
451,"104.34.16.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:38:54.039987","Santa Ana Heights","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",,"300x250"
457,"104.34.16.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 06:47:09.295818","Santa Ana Heights","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",,"300x250"
466,"108.192.117.173","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:08:39.59932","Torrance","California","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://kfrog.cbslocal.com/2016/01/21/win-tickets-to-stagecoach-2016-2/","300x250"
476,"202.77.122.22","ag_04202016","OXNARD-KHAY-FM","2016-04-28 07:26:18.073772","Tangerang","Banten","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://www.951kbby.com/","728x90"
481,"50.5.197.139","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:36:30.538077","Warsaw","Kentucky","Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://kfrog.cbslocal.com/2016/04/27/sam-hunt-vs-blackjack-billy-frog-wars/","300x250"
488,"104.172.90.165","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:47:12.174712","Los Angeles","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",,"300x250"
491,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:50:34.276955","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
494,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:54:34.349116","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
496,"96.39.170.16","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:56:14.104932","Saint Louis","Missouri","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",,"300x250"
498,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 07:58:33.997852","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
500,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:02:34.122927","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
506,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:10:34.139604","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
507,"173.0.117.5","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:11:36.147183","Los Angeles","California","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",,"300x250"
508,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:12:34.225125","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
509,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:14:34.192635","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
510,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:16:34.126381","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
511,"65.151.2.6","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:18:19.333575","Chicago","Illinois","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","http://kfrog.cbslocal.com/","300x250"
512,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:18:34.301624","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
513,"65.151.2.6","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:18:39.724518","Chicago","Illinois","Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","http://kfrog.cbslocal.com/","300x250"
514,"173.58.122.152","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:19:57.889589","Lake Elsinore","California","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; TBTE; rv:11.0) like Gecko","http://kfrog.cbslocal.com/","300x250"
515,"173.58.122.152","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:20:14.614682","Lake Elsinore","California","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; TBTE; rv:11.0) like Gecko","http://kfrog.cbslocal.com/category/shows/","300x250"
516,"198.181.11.140","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:20:34.200694","Irvine","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","http://player.radio.com/listen/station/k-frog","300x250"
517,"173.58.122.152","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:20:39.283922","Lake Elsinore","California","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; TBTE; rv:11.0) like Gecko","http://kfrog.cbslocal.com/category/music/","300x250"
518,"173.58.122.152","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:21:15.098581","Lake Elsinore","California","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; TBTE; rv:11.0) like Gecko","http://kfrog.cbslocal.com/category/features/entertainment/","300x250"
519,"173.58.122.152","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:23:15.322674","Lake Elsinore","California","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; TBTE; rv:11.0) like Gecko","http://kfrog.cbslocal.com/category/features/entertainment/","300x250"
520,"173.58.122.152","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:25:14.417268","Lake Elsinore","California","Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; TBTE; rv:11.0) like Gecko","http://kfrog.cbslocal.com/category/features/entertainment/","300x250"
521,"89.81.201.64","ag_04202016","RIVERSIDE-CBS-RADIO","2016-04-28 08:28:37.718253","Frejus","Provence-Alpes-Cote d'Azur","Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36","http://kfrog.cbslocal.com/2014/12/12/real-house-wifes-accidental-topless-photo-grab-and-go-gossip/","300x250"
742,"66.102.8.244","ag_04202016","OXNARD-KHAY-FM","2016-04-28 15:12:15.803853","Mountain View","California","Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko",,"300x250"
